"name","archive_url","stars"
"lovekk/pro_wait","https://api.github.com/repos/lovekk/pro_wait/{archive_format}{/ref}","1"
"cliveyg/poptape-apiserver","https://api.github.com/repos/cliveyg/poptape-apiserver/{archive_format}{/ref}","1"
"kindfamily/insaedu","https://api.github.com/repos/kindfamily/insaedu/{archive_format}{/ref}","1"
"deepdik/vspl_django","https://api.github.com/repos/deepdik/vspl_django/{archive_format}{/ref}","1"
"psjwohoo/DRFmall","https://api.github.com/repos/psjwohoo/DRFmall/{archive_format}{/ref}","1"
"valarpirai/docker-demo","https://api.github.com/repos/valarpirai/docker-demo/{archive_format}{/ref}","1"
"JoyLubega/Shoppinglist_graphql","https://api.github.com/repos/JoyLubega/Shoppinglist_graphql/{archive_format}{/ref}","1"
"brianpoanlin/reko","https://api.github.com/repos/brianpoanlin/reko/{archive_format}{/ref}","1"
"tomnz/pilight","https://api.github.com/repos/tomnz/pilight/{archive_format}{/ref}","1"
"emirnur/youtube_converter","https://api.github.com/repos/emirnur/youtube_converter/{archive_format}{/ref}","1"
"riichard-lii/reverse-gif","https://api.github.com/repos/riichard-lii/reverse-gif/{archive_format}{/ref}","1"
"lurdray/blogmond","https://api.github.com/repos/lurdray/blogmond/{archive_format}{/ref}","1"
"LeoAuyeung/NBA-Historical-Season-Simulator","https://api.github.com/repos/LeoAuyeung/NBA-Historical-Season-Simulator/{archive_format}{/ref}","1"
"kdembler/file-notary","https://api.github.com/repos/kdembler/file-notary/{archive_format}{/ref}","1"
"proxiex/Syne-travel-api","https://api.github.com/repos/proxiex/Syne-travel-api/{archive_format}{/ref}","1"
"CCC-2020-G17/city-analytics-on-the-cloud","https://api.github.com/repos/CCC-2020-G17/city-analytics-on-the-cloud/{archive_format}{/ref}","1"
"KeeperNight/Zoro","https://api.github.com/repos/KeeperNight/Zoro/{archive_format}{/ref}","1"
"MMTObservatory/camsrv","https://api.github.com/repos/MMTObservatory/camsrv/{archive_format}{/ref}","1"
"gabrielteodosio/github-api-consumer-api","https://api.github.com/repos/gabrielteodosio/github-api-consumer-api/{archive_format}{/ref}","1"
"ipsorus/bulletin_board","https://api.github.com/repos/ipsorus/bulletin_board/{archive_format}{/ref}","1"
"alexandrezamberlan/sadepi","https://api.github.com/repos/alexandrezamberlan/sadepi/{archive_format}{/ref}","1"
"ChunML/tdd_flask_react","https://api.github.com/repos/ChunML/tdd_flask_react/{archive_format}{/ref}","1"
"mpmrjd2020/AutoCare-Django-React","https://api.github.com/repos/mpmrjd2020/AutoCare-Django-React/{archive_format}{/ref}","1"
"collinsmuriuki/instagrm","https://api.github.com/repos/collinsmuriuki/instagrm/{archive_format}{/ref}","1"
"Hugoyu-ops/django-wep-app","https://api.github.com/repos/Hugoyu-ops/django-wep-app/{archive_format}{/ref}","1"
"dmata210/HASSpathways","https://api.github.com/repos/dmata210/HASSpathways/{archive_format}{/ref}","1"
"pwrdc/ROV4_GUI","https://api.github.com/repos/pwrdc/ROV4_GUI/{archive_format}{/ref}","1"
"modernecotech/Learning-Outcome-Software-Selector","https://api.github.com/repos/modernecotech/Learning-Outcome-Software-Selector/{archive_format}{/ref}","1"
